ID,Source,Target,Type,Description
1,1.0,2.0,Normal,
2,2.0,3.0,Normal,
3,3.0,4.0,Normal,#1971-TANNHAUS-LOSES-HIS-FAMILY
4,4.0,5.0,Normal,
5,5.0,6.0,Normal,
6,6.0,7.0,Normal,
7,7.0,8.0,Normal,
8,8.0,9.0,Normal,
9,10.0,11.0,Normal,
10,11.0,12.0,Normal,
11,11.0,13.0,Normal,
12,13.0,14.0,Normal,
13,15.0,10.0,World Swap,
14,16.0,17.0,Normal,
15,17.0,18.0,Normal,
16,18.0,19.0,Normal,
17,19.0,15.0,Normal,
18,20.0,16.0,Succesfull Time Travel,#2019(M)-JONAS-MARTHA-ORIGIN
19,21.0,20.0,Quantum Entanglement (Causality Break),It's the first time that Jonas saves Martha
20,22.0,21.0,Normal,
21,22.0,23.0,Succesfull Time Travel,#2019(M)-ADAM-TO-EVE-BASE
22,23.0,24.0,Normal,
23,24.0,25.0,Succesfull Time Travel,#1920(M)-ADAM-TO-EVE-FUTURE
24,25.0,26.0,Quantum Entanglement (Causality Break),It's the first time he doesn't kill Eve
26,28.0,22.0,World Swap,#2020(J)-ADAM-SAVES-JONAS
27,29.0,28.0,Succesfull Time Travel,#2053-ADAM-LAST-HOPE
28,30.0,29.0,Normal,
29,31.0,30.0,Normal,
30,32.0,31.0,Quantum Entanglement (Causality Break),It's the first time that Adam and she meet in that moment
31,33.0,34.0,Normal,
32,34.0,35.0,Normal,
33,119.0,33.0,Normal,#2052(M)-VOLUME-CONTROL-ROOM
34,35.0,42.0,Normal,#1986(M)-PLANT-EXPLOSION
35,36.0,37.0,Normal,
36,37.0,38.0,Failed Time Travel,
37,39.0,40.0,Normal,
38,40.0,41.0,Normal,
39,41.0,42.0,Normal,
40,39.0,43.0,Normal,
41,43.0,44.0,Normal,
42,44.0,38.0,Normal,
43,46.0,45.0,Normal,
44,46.0,47.0,dashed arrow,
45,47.0,48.0,dashed arrow,
46,48.0,49.0,dashed arrow,
47,49.0,50.0,dashed arrow,
48,50.0,51.0,dashed arrow,
49,50.0,43.0,Normal,
50,283.0,46.0,World Swap,#2020(J)-MARTHA-SAVES-JONAS
51,45.0,285.0,World Swap,#2019(M)-MARTHA-GOES-TO-1888
52,41.0,56.0,Normal,
53,41.0,53.0,Normal,
54,38.0,53.0,Normal,
55,38.0,57.0,Normal,
56,52.0,57.0,dashed arrow,
58,53.0,54.0,Normal,
59,54.0,55.0,Normal,
60,285.0,286.0,Normal,
61,286.0,287.0,Normal,
62,287.0,288.0,Normal,
64,289.0,290.0,Normal,
65,290.0,291.0,Normal,
66,291.0,292.0,Normal,
67,292.0,293.0,Normal,
68,86.0,87.0,Normal,
69,85.0,86.0,Normal,
70,71.0,85.0,Succesfull Time Travel,
71,74.0,75.0,Normal,
72,41.0,65.0,Normal,
73,42.0,62.0,Normal,
74,55.0,67.0,Normal,
75,56.0,72.0,Normal,
76,65.0,66.0,Normal,
77,66.0,67.0,Normal,
78,67.0,68.0,Normal,
79,68.0,69.0,Normal,
80,69.0,70.0,Normal,
81,70.0,71.0,Normal,
83,73.0,74.0,Normal,
84,59.0,60.0,dashed arrow,
85,60.0,61.0,dashed arrow,
86,61.0,62.0,dashed arrow,
87,62.0,63.0,dashed arrow,
89,80.0,81.0,Normal,
90,81.0,82.0,Normal,
91,82.0,83.0,Normal,
92,83.0,84.0,Normal,
93,84.0,79.0,Normal,
94,79.0,78.0,Normal,
95,139.0,84.0,World Swap,#2053(J)-CAPTURE-MARTHA
